Name,Date,Site,Cluster,Transect,Margin,Aux5,Height (cm),Latitude,Longitude,Depth,Camera,Photographer,Water quality,Strobes,Framing gear used,White balance card,Comments,Row,Column,Label,Annotator,Date annotated,Machine suggestion 1,Machine confidence 1,Machine suggestion 2,Machine confidence 2,Machine suggestion 3,Machine confidence 3,Machine suggestion 4,Machine confidence 4,Machine suggestion 5,Machine confidence 5
2021-05-27-ASAN-B-T2 10.0-A (P5270889).JPG,,,,,,,,,,,,,,,,,,933,1116,DEAD,Alleviate,2022-03-04 01:01:56+00:00,DEAD,56,PCYL,23,MALG,12,HALI,2,RUBB,1
2021-05-27-ASAN-B-T2 10.0-A (P5270889).JPG,,,,,,,,,,,,,,,,,,352,747,DEAD,Alleviate,2022-03-04 01:01:56+00:00,DEAD,92,MALG,2,CYAN,1,HALI,1,PCYL,1
2021-05-27-ASAN-B-T2 10.0-A (P5270889).JPG,,,,,,,,,,,,,,,,,,19,798,PCYL,Alleviate,2022-03-04 01:01:56+00:00,PCYL,90,DEAD,3,MALG,2,RUBB,1,HALI,1
2021-05-27-ASAN-B-T2 10.0-A (P5270889).JPG,,,,,,,,,,,,,,,,,,561,1546,DEAD,Alleviate,2022-03-04 01:01:56+00:00,DEAD,92,MALG,2,RUBB,1,HALI,1,PCYL,1
2021-05-27-ASAN-B-T2 10.0-A (P5270889).JPG,,,,,,,,,,,,,,,,,,245,905,DEAD,Alleviate,2022-03-04 01:01:56+00:00,DEAD,92,MALG,2,CYAN,1,HALI,1,PCYL,1
2021-05-27-ASAN-B-T2 10.0-A (P5270889).JPG,,,,,,,,,,,,,,,,,,274,1914,DEAD,Alleviate,2022-03-04 01:01:56+00:00,DEAD,92,MALG,2,RUBB,1,HALI,1,PCYL,1
2021-05-27-ASAN-B-T2 10.0-A (P5270889).JPG,,,,,,,,,,,,,,,,,,139,2545,PRUS,Alleviate,2022-03-04 01:01:56+00:00,PRUS,90,DEAD,3,MALG,2,HALI,1,PCYL,1
2021-05-27-ASAN-B-T2 10.0-A (P5270889).JPG,,,,,,,,,,,,,,,,,,458,3838,DEAD,Alleviate,2022-03-04 01:01:56+00:00,DEAD,92,MALG,2,RUBB,1,HALI,1,PCYL,1
2021-05-27-ASAN-B-T2 10.0-A (P5270889).JPG,,,,,,,,,,,,,,,,,,274,3618,DEAD,Alleviate,2022-03-04 01:01:56+00:00,DEAD,92,MALG,2,RUBB,1,HALI,1,PCYL,1
2021-05-27-ASAN-B-T2 10.0-A (P5270889).JPG,,,,,,,,,,,,,,,,,,238,3474,DEAD,Alleviate,2022-03-04 01:01:56+00:00,DEAD,92,MALG,2,RUBB,1,HALI,1,PCYL,1
2021-05-27-ASAN-B-T2 10.0-A (P5270889).JPG,,,,,,,,,,,,,,,,,,64,3306,PRUS,Alleviate,2022-03-04 01:01:56+00:00,PRUS,88,DEAD,5,MALG,2,HALI,1,PCYL,1
2021-05-27-ASAN-B-T2 10.0-A (P5270889).JPG,,,,,,,,,,,,,,,,,,621,1586,DEAD,Alleviate,2022-03-04 01:01:56+00:00,DEAD,92,MALG,2,RUBB,1,HALI,1,PCYL,1
2021-05-27-ASAN-B-T2 10.0-A (P5270889).JPG,,,,,,,,,,,,,,,,,,755,1589,DEAD,Alleviate,2022-03-04 01:01:56+00:00,DEAD,92,MALG,2,RUBB,1,HALI,1,PCYL,1
2021-05-27-ASAN-B-T2 10.0-A (P5270889).JPG,,,,,,,,,,,,,,,,,,1195,2179,DEAD,Alleviate,2022-03-04 01:01:56+00:00,DEAD,92,MALG,2,RUBB,1,HALI,1,PCYL,1
2021-05-27-ASAN-B-T2 10.0-A (P5270889).JPG,,,,,,,,,,,,,,,,,,1019,1634,PCYL,Alleviate,2022-03-04 01:01:56+00:00,PCYL,84,DEAD,9,MALG,2,RUBB,1,HALI,1
2021-05-27-ASAN-B-T2 10.0-A (P5270889).JPG,,,,,,,,,,,,,,,,,,936,3457,PRUS,Alleviate,2022-03-04 01:01:56+00:00,PRUS,90,DEAD,3,MALG,2,HALI,1,PCYL,1
2021-05-27-ASAN-B-T2 10.0-A (P5270889).JPG,,,,,,,,,,,,,,,,,,1772,287,DEAD,Alleviate,2022-03-04 01:01:56+00:00,DEAD,92,MALG,2,RUBB,1,HALI,1,PCYL,1
2021-05-27-ASAN-B-T2 10.0-A (P5270889).JPG,,,,,,,,,,,,,,,,,,1468,568,PCYL,Alleviate,2022-03-04 01:01:56+00:00,PCYL,90,DEAD,3,MALG,2,RUBB,1,HALI,1
2021-05-27-ASAN-B-T2 10.0-A (P5270889).JPG,,,,,,,,,,,,,,,,,,1342,1177,HALI,Alleviate,2022-03-04 01:01:56+00:00,HALI,89,MALG,4,DEAD,3,RUBB,1,PCYL,1
2021-05-27-ASAN-B-T2 10.0-A (P5270889).JPG,,,,,,,,,,,,,,,,,,1775,2148,PRUS,Alleviate,2022-03-04 01:01:56+00:00,PRUS,90,DEAD,3,MALG,2,HALI,1,PCYL,1
2021-05-27-ASAN-B-T2 10.0-A (P5270889).JPG,,,,,,,,,,,,,,,,,,1493,1722,HALI,Alleviate,2022-03-04 01:01:56+00:00,HALI,89,DEAD,3,MALG,2,PCYL,1,PRUS,1
2021-05-27-ASAN-B-T2 10.0-A (P5270889).JPG,,,,,,,,,,,,,,,,,,1572,3159,PRUS,Alleviate,2022-03-04 01:01:56+00:00,PRUS,90,DEAD,3,MALG,2,HALI,1,PCYL,1
2021-05-27-ASAN-B-T2 10.0-A (P5270889).JPG,,,,,,,,,,,,,,,,,,1713,3851,PRUS,Alleviate,2022-03-04 01:01:56+00:00,PRUS,90,DEAD,3,MALG,2,HALI,1,PCYL,1
2021-05-27-ASAN-B-T2 10.0-A (P5270889).JPG,,,,,,,,,,,,,,,,,,1411,3830,PRUS,Alleviate,2022-03-04 01:01:56+00:00,PRUS,90,DEAD,3,MALG,2,HALI,1,PCYL,1
2021-05-27-ASAN-B-T2 10.0-A (P5270889).JPG,,,,,,,,,,,,,,,,,,2292,461,PCYL,Alleviate,2022-03-04 01:01:56+00:00,PCYL,90,DEAD,3,MALG,2,RUBB,1,HALI,1
2021-05-27-ASAN-B-T2 10.0-A (P5270889).JPG,,,,,,,,,,,,,,,,,,1860,171,DEAD,Alleviate,2022-03-04 01:01:56+00:00,DEAD,91,MALG,2,RUBB,1,PCYL,1,HALI,1
